TOWN,PCODE
SAULSVILLE Boxes,0125
"SAULSVILLE, Pretoria",0008
"SAVANNAH PARK, Verwoerdburg",0157
"SAVANNAH, Polokwane",0699
"SAVOY Est/Lgd, Johannesburg",2090
"SAWOTI (Monday,Wednesday & Friday)",4203
SAXENBURG,7580
SAXENBURG PARK,7580
"SAXILBY, East London",5247
"SAXONSEA, Atlantis",7349
SAXONWOLD Boxes,2132
"SAXONWOLD, Johannesburg",2196
"SCARBOROUGH, Fish Hoek",7975
"SCENERY PARK, East London",5247
"SCHAAPKRAAL, Ottery",7945
SCHAGEN (Wednesday's Only),1207
SCHAUDERVILLE Boxes,6060
"SCHAUDERVILLE, Port Elizabeth",6020
"SCHEEPERSHOOGTE, Uitenhage",6233
"SCHEEPERSNEK, Vryheid ( Tuesday & Thursday)",3100
SCHEEPERSVLAKTE FARM,6115
"SCHEIRPOORT, Bronkorstspruit",1020
SCHINOORD,1124
SCHOEMANSDAL (Wednesday & Friday Only),1331
SCHOEMANSHOEK,6635
"SCHOEMANSKLOOF, Mpumalanga (Wednesday Only)",1207
"SCHOEMANSVILLE,",0216
"SCHOENMAKERSKOP, Port Elizabeth",6070
"SCHONKENVILLE, Parys",9585
"SCHOONGEZICHT, Durbanville",7550
"SCHOONGEZICHT, Witbank/ Emalahleni",1035
SCHOONOORD,1124
"SCHORNVILLE, Kingwilliams/ Qonce",5600
"SCHOTSCHEKLOOF, Cape Town",8001
SCHROEDERS,3471
"SCHUINSHOOGTE, Ladysmith",3370
"SCHWEIZER-RENEKE (Mon,Wed & Fri)",2780
SCOTLAND,Z004
SCOTTBURGH,4180
"SCOTTBURGH SOUTH, Scottburgh",4180
"SCOTTBURGH-SUID, Scottburgh",4180
"SCOTTSDENE, Kraaifontein",7570
"SCOTTSVILLE & Ext/Uit,",3201
SCOTTSVILLE Boxes,3209
"SCOTTSVILLE, Kraaifontein",7570
"SCOTTSVILLE, Pietermaritzburg",3201
"SE 1 - 7, Vanderbijlpark",1911
"SEA COW LAKE, Durban",4051
SEA PARK,4241
SEA POINT,8001
SEA POINT Boxes,8060
"SEA POINT, Cape Town",8001
SEA VIEW Boxes,4073
"SEA VIEW, Durban",4094
"SEA VIEW, Pacaltsdorp",6534
"SEA WIND, Retreat",7945
SEABE (Special Trip & Additional Charges),0417
"SEACREST, Mitchells Plain",7785
"SEAFORTH, Simons Town",7995
"SEATIDES, Desainagar",4405
SEAVALE,5201
SEAVIEW,6011
"SEAVIEW, Retreat",7945
SEBAYENG,0722
"SEBENZA, Edenvale (Tvl)",1609
SEBOKENG,1982
SECUNDA,2302
SEDGEFIELD,6573
"SEDIBENG, Heidelburg",1441
"SEEKOEIWATER, Witbank/Emalahleni",1035
"SEEKOEIWATER, Witbank/Emalahleni",1042
"SEEKOEIWATER, Witbank/Emalahleni",1034
"SEEMEEU PARK, Mossel Bay",6520
"SEEMEEUPARK, Welkom",9459
SEEPUNT Busse,8060
"SEEPUNT, Kaapstad",8001
SEESIG,7977
SEFITLHOGO,0621
SEGOPJE,0744
"SEINHEUWEL, Kaapstad",8001
"SEISOVILLE, Lengau (Frieght Dependant)",9499
SEKGAKGAPENG,0651
SEKGOSESE (Mon;Wed;Fri Only),0810
SEKHUKHUNE,1124
"SEKHUKHUNE, Burgersfort",1150
SEKORA AQUATICS,0920
"SEKORORO (Mon,Wed, Fri Only)",0889
SEKWATI,1063
"SELBORNE, East London",5201
"SELBOURNE, Bellville",7530
SELBY,2001
"SELBY Ext/Uit 5, 10, 12 &",2092
"SELBY, Johannesburg",2001
"SELCOURT & Ext/Uit 3,",1559
SELCOURT Boxes,1567
SELECTION PARK Boxes,1568
"SELECTION PARK, Springs",1559
SELEKA,0609
"SELOBALA, Carolina (Tues & Thurs Only)",1185
SELONS RIVER,1054
SELONSRIVIER,1054
"SELWYN, Florida",1709
SENDERWOOD Boxes,2145
"SENDERWOOD, Bedfordview",2008
SENEGAL - Dakar,Z008
SENEGAL - Other Areas,Z008
SENEKAL,9600
"SENOANE, Tshiawelo",1818
"SENOELA VILLAGE, Laphalale",0555
SENSWABARWANA (BOCHUM)  (Tuesday & Thursday Only),0790
"SENTRA PARK, (Mon,Wed & Frid Only)",0871
"SENTRAAL, Empangeni",3880
"SENTRAAL, Pretoria",0002
SENTRUM,0385
SEPANAPUDI,0705
SEPHUKUBJE,0813
SERBIA - Belgrade,Z000
SES BRUGGE (Special Trip),8808
SESENG (Monday & Wednesday Only),8447
"SESFONTEIN, Petit",1512
SESHEGO,0742
SETARIA,0383
"SETHONG, Tzaneen",0900
SETLAGOLE,2773
SETSHABELO,2286
SETTLERS (Wednesdays Only),0430
"SETTLERS WAY, East London",5201
SEVEN OAKS,3495
SEYCHELLES - Vicotria,Z008
SEYMOUR,5750
SEZELA,4215
SHAKA'S HEAD,4381
SHAKA'S ROCK,4399
SHAKASKRAAL,4430
SHALENG VILLAGE ( Special Trip),8566
"SHALLCROSS & Ext/Uit 1, Q",4093
SHALLCROSS Boxes,4079
"SHANNON, Bloemspruit",9364
"SHARKEVILLE, Stanger/ KwaDukuza",4450
"SHARON PARK, Dunnottar",1590
"SHARONLEA, Olivedale",2158
SHARPEVILLE,1933
SHATALE,1282
SHAYANDIMA,0945
"SHEARWATER, Port Elizabeth/ Gqeberha",6001
"SHEEPMOOR (Wednesday,Thursday & Friday)",2352
SHEFFIELD BEACH,4421
"SHELLEY POINT, ST Helena Bay",7385
SHELLY BEACH,4265
"SHELLY BEACH, St Michael'",4265
"SHELLYVALE, Bloemfontein",9301
SHEPSTONE  (Special Only),9413
"SHERE, Pretoria",0084
SHERIDAN  (Special Only),9704
"SHERIDON PARK, Steenberg",7945
"SHERWOOD GARDENS, Brakpan",1545
"SHERWOOD PARK, Dassenberg",7349
"SHERWOOD PARK, Manenberg",7764
"SHERWOOD, Durban",4091
"SHERWOOD, Port Elizabeth",6025
"SHILUVANE (Mon,Wed,Fri Only)",0873
"SHIMAWUSA, Giyani",0826
"SHIRLEY PARK, Bellville",7530
SHONGOANE,0555
SHONGWE MISSION (Wednesday & Friday Only),1331
SHONGWENI,3650
"SHORTLANDS, Durban",4052
"SHORTS RETREAT, Pietermaritzburg",3201
"SHULTON PARK, Amanzimtoti",4126
SIBASA,0826
SIBAYENI (Wednesday & Friday Only),1347
SIBHAYI,3967
"SIBONGILE, Dundee (via Newcastle)",3000
"SICELO, Meyerton",1961
SIDBURY,6131
"SIDESAVIVIA, Beaufort West (Mon, Wed, & Fri)",6970
SIDLAMAFA (Wednesday & Friday Only),1332
"SIDNEYVALE, Matroosfontei",7490
SIDWELL Boxes,6061
"SIDWELL, Port Elizabeth/ Gqeberha",6001
SIERRA LEONE - Freetown,Z008
SIERRA LEONE - Other Areas,Z008
"SIGNAL HILL, Cape Town",8001
"SIGNAL HILL, Ladysmith",3370
"SIGNAL HILL, Mahikeng",2745
"SIGNAL HILL, Newcastle",2940
"SIGNAL HILL, Pietermaritzburg",3201
"SILKAATSKOP, Secunda",2302
"SILLERY, Constantia",7800
SILOAM,0993
"SILUMA VIEW, Katlehong",1832
"SILVAMONTE, Johannesburg",2192
SILVER LAKES,0081
"SILVER OAKS, Kuilsrivier",7580
"SILVERFIELDS PARK, Kruger",1739
"SILVERFIELDS, Krugersdorp",1739
"SILVERGLADE, Fish hoek",7975
"SILVERGLEN, Chatsworth",4092
"SILVERHURST Est/Lgd,",7800
"SILVERSANDS, Eersterivier",7100
"SILVERSANDS, Kuilsrivier",7580
"SILVERSTREAM FARM,( Special Trip,Tues & Thurs)PLOT",3550
SILVERTON,0184
"SILVERTON & Ext/Uit 2, 5,",0184
SILVERTON Boxes,0127
SILVERTONDALE,0126
"SILVERTOWN, Athlone",7764
"SILWERKRUIN, Polokwane",0750
SILWOOD,7715
"SIMBA, Strathavon",2031
"SIMBOLIA, Springs",1559
SIMFONIE,0128
"SIMMERFIELD, Primrose",1401
SIMON'S TOWN,7995
SIMONDIUM,7670
SIMONSBERG,7608
SIMONSTAD,7995
"SIMONSWYK, Stellenbosch",7600
SINGAPORE,Z006
SINKSA BRIDGE,6535
SINKSABRUG,6535
"SINOVILLE & Ext/Uit 2,",0182
SINOVILLE Boxes,0129
SINTHUMULE (Tues & Thurs Only),0921
SIPHUMULE,2287
SIR LOWRY ROAD Cape Town,7925
"SIR LOWRY ROAD, CAPE TOWN",7900
SIR LOWRY'S PASS,7133
"SIR LOWRYWEG, KAAPSTAD Boxes",7900
"SIR LOWRYWEG, Kaapstad",7925
"SITHEMBILE, Glencoe",2930
"SITUNDU, Pinetown (Monday only)",3610
SIX FOUNTAINS,0081
"SIYABONA, Paulpietersburg",3180
SIYABONGA,0306
SIYABUSWA,0472
"SIYAKA, East London",5200
"SIYATHEMBA, Balfour (Mon,Wed&Fri Only)",2410
"SIYATHEMBA, Kathu",8446
"SKANSKOP, Pretoria",0002
SKEERPOORT,0232
SKEERPOORT,0232
"SKEMA, Sutherland (Teusday only)",6920
SKHEMELELE,3973
SKILPADFONTEIN (Special Trip & Add Charges Apply),0410
SKILPADSHEK BORDER POST (Special Trip),2880
"SKILPADSVLEI, Constantia",7880
"SKILPADSVLEI, Durbanville",7550
SKOONSPRUIT,9663
"SKRIKFONTEIN, Polowane",0699
SKUINSDRIF,2851
SKUKUZA (Tuesday & Thursday Only),1350
"SKY CITY, Alberton",1449
"SKY VILLAGE, Volksrust (Mon, Wed, Fri)",2470
SLABBERTS (Tuesday & Thursday),9703
"SLANGKOP, Fish Hoek",7975
SLEUTELFONTEIN,0465
"SLOANE PARK, Bryanston",2152
SLOVAKIA - Bratislava,Z008
SLOVENIA - Ljubljana,Z008
SLURRY,2895
SMITHFIELD,9966
"SMITSWINKEL BAY, Simon's Town",7995
"SMITSWINKELBAAI, Simonstad",7995
"SNEEUKOP, (Rawsonville)",6845
"SNELL PARADE, DURBAN Boxes",4074
"SNELL PARADE, Durban",4001
"SOBANTU, PIETERMARITZBURG",3210
SODWANA BAY,3968
SOEBATSFONTEIN,8257
SOEKMEKAAR (MOREBENG),0810
"SOETEWEIDE, Stellenbosch",7600
"SOETWATER, Fish Hoek",7975
"SOLHEIM, De Aar",7000
"SOLHEIM, Primrose",1401
SOLOMONDALE,0965
"SOLRIDGE, Cramerview",2060
SOMALIA,Z008
SOMAROBOGO,0461
SOMERSET EAST,5850
"SOMERSET HEIGHTS, Eersterfontein",7100
"SOMERSET HEIGHTS, Grahamstown/ Makhanda",6140
"SOMERSET OAKS, Somerset West",7130
"SOMERSET PARK, Retreat",7945
"SOMERSET PARK, Somerset West",7130
"SOMERSET PARK, Umhlanga",4319
"SOMERSET ROAD, CAPE TOWN",8014
SOMERSET WEST,7130
SOMERSET WEST Boxes,7129
SOMERSET-OOS,5850
SOMERSET-WES Busse,7129
SOMERSET-WES Strate,7130
"SOMERSETWEG, KAAPSTAD",8014
"SONEIKE, Kuilsriver",7580
"SONGLOED, Klerksdorp",2570
SONHEUWEL,1219
SONLANDPARK Boxes,1944
"SONLANDPARK, Vereeniging",1939
"SONNEGLANS, Olivedale",2158
"SONNEKUIL, Kuilsriver",7580
"SONNENDAL, Parow",7500
SONOP ( Tuesday Only),0258
"SONPARK, Nelspruit",1206
"SONSTRAAL, Durbanville",7550
"SOPHIATOWN, Johannesburg",2092
SOSHANGUVE,0152
"SOUTH BEACH, Durban",4001
"SOUTH CREST, Jhb South",1449
"SOUTH END, Port Elizabeth/ Gqeberha",6001
"SOUTH END, Strand",7140
SOUTH HILLS Boxes,2136
"SOUTH HILLS, Johannesburg",2197
"SOUTH KENSINGTON, Johannesburg",2094
SOUTH KOREA - Seoul,Z007
SOUTH KOREA Other Areas,Z007
"SOUTH RIDGE, Kimberley",8301
"SOUTH RIDGE, Verulam",4340
"SOUTH RIDING, Johannesburg",2190
SOUTHBROOM,4277
SOUTHDALE Boxes,2135
"SOUTHDALE, Johannesburg",2091
"SOUTHDENE, Blyvooruitsig",2504
"SOUTHDENE, Port Elizabeth/ Gqeberha",6001
"SOUTHERN CROSS, Constantia",7800
"SOUTHERN HILLS, Retreat",7945
SOUTHERNWOOD Boxes,5213
"SOUTHERNWOOD, East London",5201
SOUTHFIELD Boxes,7880
"SOUTHFIELD, Plumstead",7800
"SOUTHGATE, Durban",4068
"SOUTHPORT, Anerley",4230
"SOUTHPORT, Fish Hoek",7975
SOUTPAN (Thursday Only),9356
"SOUTPAN, Pretorai",0182
SOUTRIVIER,7925
SOVENGA,0727
"SOVENGA, Port Shepstone",4240
SOWETO,2001
"SOWETO-ON-SEA, Port Elizabeth",6201
SPAARWATER,1410
SPAARWATER,1410
SPAIN - Barcelona,Z006
SPAIN - Madrid,Z006
SPAIN - Other Areas,Z006
"SPANISH FARM, Somerset West",7130
"SPARKS Est/Lgd, Durban",4091
SPARTAN,1619
"SPEARVILLE, Barberton (Wednesday & Friday Only)",1300
"SPES BONA, Johannesburg",2094
"SPITSKOP, Thabazimbi ( Wednesday's Only)",0387
"SPITSKOP,Bloemfontein",9330
"SPOORNET HEAD OFFICE,",2134
"SPOORNET HOOFKANTOOR,",2134
"SPOORWEGTERREIN, Pretoria",0002
"SPRINCOL, Vereeniging",1939
SPRINGBOK,8240
"SPRINGBOKPARK, Brackenfel",7560
"SPRINGDALE, Port Elizabeth",6020
"SPRINGFIELD, Durban",4091
"SPRINGFIELD, Johannesburg",2190
"SPRINGFIELD, Johannesburg",2190
"SPRINGFIELD, Port Elizabeth",6070
SPRINGFONTEIN,9917
SPRINGS,1559
SPRINGS Boxes,1560
"SPRINGS Ext/Uit 3, Springs",1559
"SPRINGS Ext/Uit, Springs",1559
"SPRINGTOWN, Durban",4091
"SPRINGVALE FARM COTTAGE, Howick",3290
"SPRINGVALE FARM COTTAGE, Nottingham Road",3280
"SPRINGVALE, Durban North",4051
"SPRUITVIEW, Katlehong",1832
SQUARE HILL Boxes,7960
"SQUARE HILL PARK, Kimberley",8301
"SQUARE HILL, Retreat",7945
"SQUIRE'S VILLAGE, Retreat",7945
SRI LANKA - Colombo,Z009
SRI LANKA - Other Areas,Z009
ST ALBANS,6385
"ST ANDREWS, Bedfordview",2008
ST AUGUSTINE'S,3006
ST BARTHELEMY,Z008
ST BERHELEMY,Z009
ST CROIX,Z009
"ST DUMA, Kuilsriver",7580
ST EUSTATIUS,Z009
"ST FAITH'S (Monday,Wednesday & Friday)",4642
ST FRANCIS BAY,6312
ST FRANCISBAAI,6312
ST HELENA BAY (Tuesdays & Thursdays),7390
ST HELENA ISLAND,Z003
"ST HELENA, Calitzdorp,George ( Mon,Wednesday & Fri",6660
"ST HELENA, Welkom",9459
ST HELENABAAI (Tuesday & Thursdays),7390
ST JAMES Boxes,7946
"ST JAMES, Muizenberg",7945
ST JOHN,Z009
"ST KILDA, Brackenfell",7560
ST KITTS & NEVIS,Z009
ST LUCIA,Z009
"ST LUCIA, KZN (Tues & Friday Only)",3936
ST MAARTENS/ST MARTIN,Z009
ST MICHAEL'S ON SEA,4265
"ST MICHAEL'S, Brackenfell",7560
ST THOMAS,Z009
ST VINCENT,Z009
"ST WINIFRED'S, Amanzimtot",4126
STAAL Boxes,1906
"STAAL, Vanderbijlpark",1911
STAALHOF,0131
STAALVELD,1043
"STAATSDORP, Benoni",1501
"STAATSDORP, Germiston",1401
"STAATSDORP, Vereeniging",1939
"STAFFORD, Johannesburg",2197
STALPLEIN,8015
STAMFORD HILL,4025
"STAMFORD HILL, Durban",4001
"STAND Ext/Uit, Krugersdorp",1739
STANDERTON,2430
STANDFORD (Tuesday's & Thursday's),7210
"STANFIELDHILL, Standerton",2433
STANFORD (Tuesday's & Thursday's),7210
STANGER (KWADUKUZA),4450
"STANMORE, Durban",4051
"STARKEVILLE, Stanger/ KwaDukuza",4450
"STARWOOD, Durban",4051
STEADVILLE,3373
"STEEL PARK, Vereeniging",1939
"STEELEDALE, Johannesburg",2197
STEELPOORT,1133
STEENBERG Boxes,7947
STEENBERG Streets,7945
STEENBOKPAN,0533
"STEFANO PARK, Vanderbijlpark",1911
STEILLOOP,0617
"STEILTES,Nelspruit/ Mbombela",1200
STEINKOPF (Special Trip),8244
STELLA,8650
"STELLA LONDT PARK, Port Elizabeth",6045
"STELLENBERG, Durbanville",7550
STELLENBOSCH,7600
STELLENBOSCH Boxes,7599
"STELLENRIDGE, Bellville",7530
"STELLENRYK, Durbanville",7550
STERKRIVIER (Wednesdays Only),0630
STERKSPRUIT (Serviced out of BFN),9763
STERKSPRUIT (Serviced out of ELS) (Mon & Thur),9762
"STERKSPRUIT, Mpumalanga",1210
STERKSTROOM (Monday's & Thursday Only),5425
"STERPARK, Pietersburg",0699
STEUNMEKAAR (Special Only),9392
"STEURHOF, Plumstead",7800
"STEWARDBY, Lichtenburg",2740
"STEWARDS, Benoni",1501
STEYNING,7730
STEYNPAN,9464
STEYNSBURG (Tuesday's & Friday's Only),5920
STEYNSRUS (Friday Only),9515
"STEYNSRUST, Somerset West",7130
"STEYNSVLEI, Honingklip",1747
"STEYNVILLE, Hopetown",8750
"STEYTLER Tsp/Dgd, Port Elizabeth/ Gqeberha",6001
STEYTLERVILLE,6250
"STIKLAND, Bellville",7530
STILBAAI ( Tuesday & Thursday only),6785
"STILBAAI-WES, Stilbaai ( Tuesday & Thursday only)",6785
STILFONTEIN,2550
"STILFONTEIN EAST, Stilfontein",2550
"STILFONTEIN-00S, Stilfontein",2550
STILL BAY ( Tuesday & Thursday only),6785
STILL BAY ( Tuesday's and Thursday's Only),6785
"STILL BAY WEST, Still Bay (Tuesday & Thursday only",6785
"STIRLING & Ext/Uit, East London",5241
STOFFBERG (Thursday Only),1056
STOMPNEUS BAY,7382
STOMPNEUSBAAI,7382
"STONE BRIDGE, Durban",4051
"STONEHILL Est/Lgd, Parowv",7500
"STONEWOOD, Kraaifontein",7570
"STONEYBROOK FARM,Kokstad ( Mon, Wed & Fri)",4700
"STONEYDRIFT, East London",5247
STORMBERG,5501
"STORMILL, Roodepoort",1724
STORMS RIVER (Monday & Thursday Only),6308
STORMSRIVIER (Monday & Thursday Only),6308
"STORMVILLE, Florida",1709
STRAND,7140
STRANDFONTEIN Boxes,7788
"STRANDFONTEIN, Mitchells Plain",7785
"STRATFORD GREEN, Eersteriver",7100
"STRATHAVON Ext/Uit 1 - 6,",2031
"STRATHAVON Ext/Uit 17,18,",2031
"STRATHAVON Ext/Uit 7, 12",2148
"STRATHAVON, Bryanston",2031
STRAUSSBURG (Thursday Only),8816
"STREDFORD, Vereeniging",1939
"STREKFONTEIN, Krugersdorp",1739
STRIJDOMPLEIN,0126
"STRUANDALE, Port Elizabeth/ Gqeberha",6001
"STRUBENSVALLEI Ext/Uit 1,",1735
"STRUBENSVALLEI, Roodepoort",1735
STRUBENVALE Boxes,1570
"STRUBENVALE, Springs",1559
STRUIS BAY (Tuesday's & Thursday's Only),7285
STRUISBAAI (Tuesday's & Thursday's Only),7285
"STRUISBULT, Springs",1559
STRYDENBURG (Wednesday Only),8765
STRYDMAG,0455
"STRYDOMPARK, Randburg",2194
STRYDPOORT,2610
"STUART Tsp/Dgd, Port Elizabeth/ Gqeberha",6001
"STUART'S HILL, Somerset West",7130
STUDTIS,6686
STUIRMANSPAN,9475
STUTTERHEIM,4930
SUDAN - Khartoum,Z008
SUDAN - Other Areas,Z008
"SUIDEINDE, Port Elizabeth/ Gqeberha",6001
SUIDER-PAARL Boxes,7624
"SUIDER-PAARL, Paarl",7646
"SUIDERBERG, Pretoria",0082
"SUIDEROORD, Johannesburg",2091
"SUIDERSTRAND, Strand",7140
"SUIDRAND, Kroonstad",9499
"SUMMER GREENS, Milnerton",7441
"SUMMERPRIDE, East London",5247
"SUMMERSTRAND, Port Elizabeth/ Gqeberha",6001
"SUMMERVELD, Durban",3629
SUMMERVILLE,6107
"SUMMERVILLE, Kraaifontein",7570
"SUMMERWOOD, Port Elizabeth/ Gqeberha",6001
SUN CITY,9997
"SUN VALLEY,Fish Hoek",7975
"SUNAIR PARK, Brakpan",1549
"SUNBIRD PARK, Kuilsrivier",7580
"SUNBIRDPARK, Eersterivier",7100
"SUNBURY Est/Lgd, Heathfield",7945
"SUNDERLANDRIDGE, Centurion",0157
"SUNDOWNER & Ext/Uit, Randburg",2161
"SUNDOWNER, Randburg",2161
SUNDRA,2200
SUNDUMBILI,4491
"SUNFORD, Phoenix",4068
"SUNKIST Est/Lgd, Bellville",7530
SUNLAND,6115
"SUNLANDS Est/Lgd, Kenwyn",7780
"SUNNINGDALE & Ext/Uit 1,",2192
"SUNNINGDALE PARK, Rivonia",2128
"SUNNINGDALE RIDGE, Johannesburg",2192
"SUNNINGDALE, Cape Town",7441
"SUNNINGDALE, Durban",4051
"SUNNINGDALERIF, Johannesburg",2192
SUNNINGHILL,2157
SUNNINGHILL Boxes,2157
"SUNNINGHILL Ext/Uit 4,",2157
"SUNNY COVE, Fish Hoek",7975
"SUNNYBRAE, Newlands",7700
"SUNNYDALE, Eshowe",3815
"SUNNYDALE, Fish Hoek",7975
"SUNNYRIDGE, East London",5201
"SUNNYRIDGE, Newcastle",2953
"SUNNYRIDGE, Primrose",1401
"SUNNYROCK, Primrose",1401
"SUNNYSIDE, Athlone",7764
"SUNNYSIDE, Graaff-Reinet",6280
"SUNNYSIDE, Johannesburg",2092
"SUNNYSIDE, PRETORIA Boxes",0132
"SUNNYSIDE, Parys",9585
"SUNNYSIDE, Pietermaritzburg",3201
"SUNNYSIDE, Pretoria",0002
"SUNRAY Est/Lgd, Bellville",7530
"SUNRIDGE Est/Lgd, Table View",7441
SUNRIDGE PARK Boxes,6008
"SUNRIDGE PARK, Port Elizabeth",6045
"SUNRIDGE, Knysna",6570
"SUNRISE VIEW, Katlehong",1832
"SUNRISE-ON-SEA, East London",5201
"SUNSET ACRES, Johannesburg",2196
"SUNSET BEACH, Cape Town",7441
"SUNVALLEY, Pimville",1808
"SUNWARD PARK & Ext/Uit 1,",1459
SUNWARD PARK Boxes,1470
"SUNWICH PORT, Anerley",4230
"SUPERBIA Ext/Uit 20,",0699
"SURPRISE FARM, Pinetown",3610
"SURREY Est/Lgd, Athlone",7764
"SURREYSIDE, Athlone",7764
SURWELL,7762
SUSWE (Tuesdays Only),0612
SUTELONG ( Polokwane),0507
SUTHERLAND (Tuesdays Only),6920
SUURBEKOM,1787
"SUURBRAAK (Mon,Wed & Fri Only)",6743
"SUURGOUD, Lekkerplaas",1784
SWALALA,1254
"SWALESTOWN, Isipingo",4110
SWART-MFOLOZI,3115
SWARTBOOM (Friday's Only),0404
"SWARTBURG ( Monday, Wednesday & Friday)",4710
SWARTKLIP,0370
"SWARTKLIP, Mitchells Plain",7785
SWARTKOPS,6210
"SWARTKOPS Ext/Uit 2, 4, 7",6210
"SWARTKOPS, Verwoerdburg",0157
"SWARTKRANS FARM, Krugersdorp",1739
SWARTRUGGENS,2835
SWARTWATER,0622
SWAZILAND - Manzini,Z501
SWAZILAND - Mbabane,Z500
SWAZILAND - NhLangano,Z501
SWAZILAND - Other,Z502
SWEDEN - Other Areas,Z006
SWEDEN - Stockholm,Z006
"SWEET VALLEY, Bergvliet",7945
"SWEET WATERS, Walkerville",1876
SWELLENDAM (Monday's Wednesday & Friday),6740
"SWINBURNE (Monday, Wednesday & Friday)",3395
SWITZERLAND - Geneva,Z006
SWITZERLAND - Other Areas,Z006
SWITZERLAND - Zurich,Z006
"SYBRANDPARK, Rondebosch",7700
"SYDENHAM EAST, Johannesburg",2192
"SYDENHAM, Durban",4091
"SYDENHAM, Johannesburg",2192
"SYDENHAM, Port Elizabeth/ Gqeberha",6001
"SYDENHAM-OOS, Johannesburg",2192
SYDNEY,Z006
"SYDNEYVALE, Lavistown",7490
SYFERBULT (Tues & Thurs Only),2806
SYFERFONTEIN,2710
"SYFERFONTEIN ABATTOIR, Potchefstroom",2520
"SYMHURST, Primrose",1401
SYMRIDGE Boxes,1420
"SYMRIDGE, Germiston",1401
SYRIA - Damascus,Z007
SYRIA - Other Areas,Z007
TABANKULU (Special Trip) (Tuesday & Thursday),5130
TABANKULU (Special Trip)(Tuesday & Thursday),5131
"TABLE BAY HARBOUR, Cape Town",8001
TABLE VIEW Boxes,7439
TABLE VIEW Streets,7441
TADCASTER (Special Only),8560
"TAFELBAAIHAWE, Kaapstad",8001
"TAFELKOP, Limpopo",0474
"TAFELSIG, Mitchells Plain",7785
"TAGANASHOEK, Tzaneen",0859
TAHITI - Papeete,Z009
TAIWAN - Other Areas,Z006
TAIWAN - Taipei,Z006
"TALBOTON, Johannesburg",2192
"TALBOTPARK, Boksburg",1473
"TAMARA PARK, Verwoerdburg",0157
TAMBOERSKLOOF Boxes,8016
"TAMBOERSKLOOF, Cape Town",8001
"TAMSUI INDUSTRIA, George",6529
TANZANIA,Z008
TANZANIA - Other Areas,Z008
"TARA, Durbanville",7550
"TARENTAALRAND, Tzaneen",0850
TARKASTAD,5370
TARLTON,1749
"TASBET PARK, Witbank/ Emalahleni",1040
TAUNG,8584
"TAYBANK, Port Elizabeth",6025
TAYLORS HALT,4505
"TAYLORSHAM, Johannesburg",2197
"TECHNIKON, Roodepoort",1724
"TECHO PARK, Stellenbosch",7600
TECOMA,5214
"TEDSTONEVILLE, Elsburg",1407
TEK,0133
TEMBA,9998
"TEMBISA, Ermelo",2350
"TEMBISA, Johannesburg",1628
TEMPE Boxes,9318
"TEMPE, Bloemfontein",9301
"TENNANTVILLE, Stellenbosc",7600
"TERENURE, Kempton Park",1619
TERGNIET,6525
"TERMINUS STREET, EAST LONDON",5215
"TERMINUSSTRAAT, OOS-LONDEN",5215
THABA NCHU,9780
THABA PHATSHWA  (Special Only),9771
THABA TSWANA,0401
THABAZIMBI,0380
"THABONG, Welkom",9463
THAFAMASI,4343
THAILAND - Bangkok,Z007
THAILAND - Other Areas,Z007
"THALATHLAGANYANE, Pilansberg",0316
"THALMAN Est/Lgd, Bellville",7530
"THE ACRES, Goodwood",7460
"THE BOULDERS, SimonTown",7995
THE BROOK,2334
"THE CLIFFS, Bellville",7530
THE CRAGGS,6602
"THE DOWNS, Manenberg",7764
THE DUNCAN VILLAGE Boxes,5216
"THE FARM VAALBANK, Krugersdorp",1739
"THE FARM, Paddock (Mon,Wed, Fri)",4244
"THE HEADS, Knysna",6570
"THE HILL, Johannesburg",2197
"THE HILLS, Durbanville",7550
"THE LEAGUES, Mitchells Plain",7785
"THE OAKS, Hoedspruit (Freight Dependant)",1384
"THE ORCHARDS, Rosslyn",0200
"THE PLANETS, Benoni",1501
"THE RANGE, Elsiesriver",7490
"THE REEDS Ext/Uit 9, Verw",0158
"THE REEDS, Centurion",0157
"THE REEDS, Verwoerdburg",0158
THE REST ( Mbombela),1200
THE RIDGE FARM,4260
"THE RIDGE, Durbanville",7550
"THE RIDGE, Stellenbosch",7600
"THE SHIRES, Retreat",7945
"THE STEWARDS, Benoni",1501
"THE VILLAGE, Kraaifontein",7570
"THE VINES Est/Lgd, Constantia",7800
"THE WILDS, Pretoria",0042
"THE WILLOWS, Pretoria",0081
"THE WOLDS, Pinetown",3610
"THEESCOMBE, Port Elizabeth",6070
"THEMBALETHU, George",6529
"THEMBELISHA, Springs",1559
"THEMBISA, Johannesburg",1628
"THEMBISA, Middelburg",1050
THEODON,2402
"THEOVILLE AH, Vanderbijlpark",1911
THERESAPARK Ext/Uit 1 & 2,0155
"THERESAPARK, Pretoria",0155
THERONVILLE,9702
"THETA, Johannesburg",2013
THEUNISSEN,9410
THEUNISSEN (Serviced out of BFN),9410
"THIBAULT, Cape Town",8001
"THIRSTI/NORMANDIEN FARMS, Newcastle",2940
THISTLE GROVE,2273
THLABANE,0305
THOHOYANDOU,0999
THOKOZA,1421
THOLONGWE,0734
THOMAS RIVER,5311
THOMASRIVIER,5311
"THOMASVILLE Est/Lgd, Rugby",7405
"THORN PARK, East London",5241
