TOWN,PCODE
BARANDAS ( Tuesday & Thursday only),6480
BARBADOS,Z009
"BARBAROSA Est/Lgd, Constantia",7800
"BARBEQUE DOWNS, Midrand",1684
"BARBERSPAN ( Monday, Wednesday& Friday Only)",2765
BARBERTON,1300
BARBUDA,Z009
"BARDENE, Boksburg",1459
"BARKAROSA, Plumstead",7800
BARKLY EAST (48Hours),5580
"BARKLY WEST (Monday,Wednesday & Friday)",8375
BARKLY-OOS,5580
"BARKLY-WES (Monday,Wednesday & Friday)",8375
"BARLOW PARK, Wendywood",2148
"BARODA (Monday,Wednesday & Friday Only)",5882
"BARRY HERTZOG PARK, Newcastle",2940
"BARRYDALE (Monday, Wednesday & Friday only)",6750
"BARTLETTS, Boksburg",1459
BARVALE,1202
"BARVALLEN, Primrose",1401
BASHEWA,0056
"BASHEWA AH, Pretoria",0042
"BASHEWA, Pretoria",0056
"BASSONIA, Glenvista",2061
"BATHO, Bloemfontein",9323
BATHURST (Tuesday & Friday Only),6166
BATLHARO ( Special Only),8474
"BAY VIEW, Chatsworth",4092
"BAY VIEW, Hartenbos",6520
"BAY VIEW, MosselBay",6500
BAYALA,3966
"BAYHEAD, Durban",4052
BAYNESFIELD,3770
"BAYRIDGE, Tableview",7441
"BAYSVILLE, East London",5241
"BAYSWATER, Bloemfontein",9301
"BAYWEST, Port Elizabeth",6025
BAZLEY BEACH,4220
"BEACANHURST, East London",5241
"BEACH Est/Lgd, Houtbay",7800
"BEACH, East London",5201
BEACHVIEW,6011
"BEACHWOOD, Durban North",4051
BEACON BAY  East London,5241
BEACON BAY Boxes,5205
"BEACON BAY VALLEY, East London",5241
"BEACON VALLEY, Mitchells Plain",7785
BEACONBAAI Busse,5205
"BEACONBAAI, East-London",5241
"BEACONBAAIVALLEI, East-London",5241
BEACONSFIELD Boxes,8315
"BEACONSFIELD, Kimberley",8301
"BEACONSFIELD, Vereeniging",1939
"BEACONVALE Est/Lgd, Parow",7500
"BEACONVILLE, Parow",7500
"BEAUFORT WEST (Mon, Wed, Fri)",6970
"BEAUFORT-WEST (Mon, Wed, Fri)",6970
"BEAUMONT, Parys",9585
BEAUTY,0538
"BEDELIA, Welkom",9459
BEDFORD,5780
"BEDFORD GARDENS, Bedfordview",2008
"BEDFORDPARK, Bedfordview",2008
BEDFORDVIEW,2008
"BEDWORTH PARK, Vereeniging",1940
BEESTEKRAAL,0255
"BEIRUT, Qwa Qwa",9870
BEIT BRIDGE,0900
"BEKKERSDAL, Westonaria",1780
BELA-BELA (WARMBATHS),0480
BELA-BELA(WARMBAD),0480
BELARUS,Z008
BELFAST Mpumalanga (EMAKHAZENI) (Tues & Thurs),1100
BELFAST Mpumalanga (EMAKHAZENI) (Tues & Thurs),1100
"BELFORT Est/Lgd, Pietermaritzburg",3201
BELGIUM - Antwerp,Z005
BELGIUM - Brussels,Z005
BELGIUM - Other Areas,Z005
"BELGRAVIA Est/Lgd, Athlone",7764
"BELGRAVIA, Bellville",7530
"BELGRAVIA, East London",5201
"BELGRAVIA, Johannesburg",2094
"BELGRAVIA, Kimberley",8301
BELHAR Boxes,7507
"BELHAR, Matroosfontein",7490
BELIZE - Belize City,Z009
BELIZE - Other Areas,Z009
BELLA VISTA Boxes,6837
"BELLA VISTA, Ceres",6835
BELLAIR,4006
"BELLAIR Est/Lgd, Bellville",7530
"BELLAIR, Durban",4094
"BELLAVISTA Est/Lgd, Johannesburg",2091
"BELLAVISTA SOUTH, Johannesburg",2091
"BELLAVISTA-SUID, Johannesburg",2091
